decimal;hex;version;radius;height;sprite;sequence;class;description
10060;274C;D;20;68;FDMN;XEFG+;MO*^;Afrit
8080;1F90;C;32;64;DEM2;AA+;MO*;Brown chaos serpent
107;6B;D;20;64;CENT;AB+;MO*;Centaur
114;72;C;22;65;BISH;A+;MO*^;Dark bishop
254;FE;C;20;65;DRAG;D+;MO*^;Death wyvern
10030;272E;D;25;68;ETTN;AA+;MO*;Ettin
31;1F;D;32;64;DEMN;AA+;MO*;Green chaos serpent
10080;2760;C;40;110;SORC;AAA+;MO*;Heresiarch
10200;27D8;C;65;115;KORX;A+;MO*;Korax
10102;2776;C;16;64;MAGE;AAA+;MO*;Menelkir
34;22;C;20;55;WRTH;ABAB+;MO*^;Reiver
10011;271B;C;20;68;WRTH;AB+;M^;Reiver (buried)
115;73;C;20;64;CENT;AB+;MO*;Slaughtaur
121;79;C;32;70;SSPT;H+;MO;Stalker
120;78;C;32;70;SSPT;H+;MO;Stalker boss
10101;2775;C;16;64;CLER;AAA+;MO*;Traductus
8020;1F54;D;22;75;ICEY;A+;MO*;Wendigo
10100;2774;C;16;64;PLAY;AAA+;MO*;Zedek
8040;1F68;C;20;16;WMLG;ABCDEFGH;WP1;Arc of Death
21;15;C;20;16;WMS1;A;WP1;Bloodscourge (skull)
23;17;D;20;16;WMS3;A;WP1;Bloodscourge (stick)
22;16;C;20;16;WMS2;A;WP1;Bloodscourge (stub)
8009;1F49;C;20;16;WCFM;ABCDEFGH;WP1;Firestorm
53;35;D;20;16;WMCS;ABC;WP1;Frost shards
123;7B;C;20;16;WFHM;A;WP1;Hammer of Retribution
12;C;C;20;16;WFR1;A;WP1;Quietus (blade)
13;D;C;20;16;WFR2;A;WP1;Quietus (cross)
16;10;D;20;16;WFR3;A;WP1;Quietus (hilt)
10;A;D;20;16;WCSS;A;WP1;Serpent staff
8010;1F4A;D;20;16;WFAX;A;WP1;Timon's Axe
18;12;C;20;16;WCH1;A;WP1;Wraithverge (arc)
19;13;C;20;16;WCH2;A;WP1;Wraithverge (cross)
20;14;D;20;16;WCH3;A;WP1;Wraithverge (shaft)
122;7A;D;8;8;MAN1;ABCDEFGHI;P1;Blue mana
8004;1F44;D;8;8;MAN3;ABCDEFGHIJKLMNOP;P2;Combined mana
